y,ds,unique_id
12.0,2019-02-27,H88
7.0,2019-02-28,H88
12.0,2019-03-01,H88
12.0,2019-03-04,H88
8.0,2019-03-05,H88
5.0,2019-03-06,H88
15.0,2019-03-07,H88
21.0,2019-03-11,H88
14.0,2019-03-12,H88
6.0,2019-03-13,H88
13.0,2019-03-14,H88
9.0,2019-03-15,H88
7.0,2019-03-18,H88
15.0,2019-03-20,H88
9.0,2019-03-21,H88
7.0,2019-03-22,H88
11.0,2019-03-25,H88
5.0,2019-03-29,H88
5.0,2019-04-01,H88
8.0,2019-04-02,H88
4.0,2019-04-03,H88
8.0,2019-04-04,H88
16.0,2019-04-08,H88
24.0,2019-04-09,H88
17.0,2019-04-11,H88
11.0,2019-04-12,H88
11.0,2019-04-16,H88
13.0,2019-04-17,H88
5.0,2019-04-18,H88
5.0,2019-04-19,H88
22.0,2019-04-22,H88
7.0,2019-04-23,H88
1.0,2019-04-24,H88
2.0,2019-04-25,H88
17.0,2019-04-26,H88
17.0,2019-05-02,H88
11.0,2019-05-03,H88
7.0,2019-05-04,H88
15.0,2019-05-06,H88
14.0,2019-05-07,H88
20.0,2019-05-08,H88
3.0,2019-05-09,H88
5.0,2019-05-10,H88
7.0,2019-05-13,H88
8.0,2019-05-14,H88
6.0,2019-05-15,H88
20.0,2019-05-16,H88
12.0,2019-05-17,H88
11.0,2019-05-20,H88
5.0,2019-05-21,H88
20.0,2019-05-23,H88
13.0,2019-05-24,H88
9.0,2019-05-27,H88
4.0,2019-05-28,H88
9.0,2019-05-29,H88
5.0,2019-05-30,H88
2.0,2019-05-31,H88
10.0,2019-06-03,H88
10.0,2019-06-04,H88
3.0,2019-06-05,H88
14.0,2019-06-06,H88
16.0,2019-06-07,H88
14.0,2019-06-10,H88
6.0,2019-06-11,H88
5.0,2019-06-12,H88
4.0,2019-06-13,H88
11.0,2019-06-14,H88
13.0,2019-06-17,H88
8.0,2019-06-18,H88
7.0,2019-06-19,H88
7.0,2019-06-20,H88
6.0,2019-06-21,H88
22.0,2019-06-24,H88
24.0,2019-06-25,H88
9.0,2019-06-26,H88
20.0,2019-06-27,H88
2.0,2019-06-28,H88
4.0,2019-07-01,H88
9.0,2019-07-02,H88
7.0,2019-07-03,H88
10.0,2019-07-04,H88
13.0,2019-07-05,H88
26.0,2019-07-08,H88
13.0,2019-07-09,H88
9.0,2019-07-10,H88
6.0,2019-07-11,H88
13.0,2019-07-12,H88
22.0,2019-07-15,H88
18.0,2019-07-16,H88
13.0,2019-07-17,H88
10.0,2019-07-18,H88
9.0,2019-07-19,H88
12.0,2019-07-22,H88
7.0,2019-07-23,H88
9.0,2019-07-24,H88
12.0,2019-07-25,H88
12.0,2019-07-26,H88
11.0,2019-07-29,H88
4.0,2019-07-30,H88
1.0,2019-07-31,H88
8.0,2019-08-01,H88
7.0,2019-08-02,H88
11.0,2019-08-05,H88
21.0,2019-08-06,H88
9.0,2019-08-07,H88
8.0,2019-08-08,H88
9.0,2019-08-09,H88
9.0,2019-08-12,H88
11.0,2019-08-30,H88
19.0,2019-09-03,H88
10.0,2019-09-04,H88
9.0,2019-09-05,H88
17.0,2019-09-06,H88
23.0,2019-09-09,H88
14.0,2019-09-10,H88
13.0,2019-09-11,H88
3.0,2019-09-12,H88
4.0,2019-09-13,H88
7.0,2019-09-16,H88
3.0,2019-09-17,H88
9.0,2019-09-18,H88
17.0,2019-09-19,H88
8.0,2019-09-20,H88
11.0,2019-09-23,H88
13.0,2019-09-24,H88
7.0,2019-09-25,H88
17.0,2019-09-26,H88
24.0,2019-09-27,H88
3.0,2019-09-30,H88
6.0,2019-10-01,H88
8.0,2019-10-02,H88
11.0,2019-10-03,H88
40.0,2019-10-07,H88
10.0,2019-10-08,H88
5.0,2019-10-09,H88
4.0,2019-10-10,H88
24.0,2019-10-11,H88
16.0,2019-10-14,H88
15.0,2019-10-15,H88
6.0,2019-10-16,H88
9.0,2019-10-17,H88
5.0,2019-10-18,H88
11.0,2019-10-21,H88
6.0,2019-10-22,H88
6.0,2019-10-23,H88
17.0,2019-10-24,H88
10.0,2019-10-25,H88
15.0,2019-10-28,H88
14.0,2019-10-29,H88
2.0,2019-10-30,H88
5.0,2019-10-31,H88
3.0,2019-11-01,H88
1.0,2019-11-04,H88
5.0,2019-11-05,H88
30.0,2019-11-06,H88
